class,message
0,"แต่เช้าเลย!!! สั่งชุดครัวซองเนื้อ+น้ำส้ม กับชุดข้าวเหนียวไก่ ได้สินค้ามาแล้วก็รีบกิน เพราะรีบเดินทางไม่ได้มีเวลาเช็คของ พอมาคิดได้อ้าว!!! แล้วน้ำส้มล่ะ??? ไม่ได้ใส่มาให้...คือดีงามเนอะ!!! สั่งแค่นี้ พนง. ไม่มีปัญญาเช็คสินค้าให้ลูกค้าก่อนส่งให้ลูกค้าเหรอ มีช่องไดร์ฟไว้ให้สำหรับลูกค้าที่รีบไม่ใช่เหรอ แล้วแบบนี้คราวหน้าจะไปทวงคืนได้มั้ย เพราะมันเป็นทางผ่าน (ขอคำตอบ!!!)#เบอร์เกอร์คิง สาขาปั้มเชล์ล ฉะเชิงเทรา"
0,ถ้าจะมี delivery น้อยขนาดนี้ อย่าเปิดเลย
0,ทำไมสาขาที่แกรนด์ไดมอนด์ประตูน้ำ บริการแย่มาก ขอซอสพริกเพิ่มก็ไม่ให้ น้ำก็ไม่ใส่ถุงให้ จะไปทานที่้บ้านเข้าใจบ้างนะ ไม่มือที่จะถือ เสียความรุ้สึกมากๆ
0,โทรสั่งเบอร์เกอร์คิง 21.49 มาถึงเวลา 22.07 ทุกอย่างแลไม่มีปัญหาอะไร พอจ่ายเงินกับพนักงาน แสดงอาการกระชากเงินกับมือคืออะไร
0,บริการแย่มากนะคะ ยืนต่อแถวอยู่มีต่างชาติมาแซงคิว ทำให้เค้าก่อนเฉยเลยค่ะ คนที่ยืนเครื่องเห็นนะคะว่าเรายืนอยู่แต่รับออเดอร์ที่แซงคิวเราหน้าตาเฉย ไม่ขอโทษเราซักคำ!!! แบบนี้แย่นะคะ #The Streetรัชดา
0,บริการอาหารลูกค้าผิดพลาดบ่อยที่สุด วันนี้สุดทนละค่ะ สั่ง DB cheese burger 2 ที่ แต่ได้เบอร์เกอร์แบบธรรมดามาทั้งสองเลย เอาเปรียบที่สุด แย่มาก!
0,"เบอร์เกอร์คิง สาขาสนามบินดอนเมืองฝั่งเกท 4x-7xเวลาเช้าประมาณ 10โมงครึ่ง พนักงานผู้หญิง (เปิดเคาน์เตอร์เดียว)คือยืนเข้าคิวสั่งอาหารในแถวนานมาก เจอฝรั่งแซงคิว และเบี่ยงแถวไปเคาท์เตอร์ที่ปิดอยู่ แต่นี่เราโดนพนักงานหันไปรับออเดอร์ลูกค้าคนอื่น แล้วไล่เรากลับให้กลับไปต่อแถวใหม่คืออะไรคะ?? นี่โกรธมากนะ จำแถวตัวเองไม่ได้เหรอคะว่าอยู่ตรงไหน นี่ไม่ได้ย้ายที่ยืนเลยด้วย เสียความรู้สึกมากค่ะถ้าจะเป็นแบบนี้ แนะนำให้เอาเส้นยืด+เสา มากั้นแถวให้ชัดเจนไปเลย น้องพนักงานจะได้ไม่สับสน"
0,ปกติทานที่สาขาแจ้งวัฒนะอร่อยมากแต่วันนี้ผ่านมาทางประชาชื่น ลองซื้อกลับบ้านบริการแย่มากพนักงานหน้าบึ้งพูดเร็วเนื้อเหมือนอันเก่ามาอุ่น เซ็งมากค่ะ
0,ประกาศรางวัลตั้งแต่วันที่4 ละ จนวันนี้วันที่16ยังไม่ได้เลยอะ แจกจริงรึป่าววววววว!!!ถ้าไม่ได้จะแฉทุกกิจกรรมเลยคอยดู
0,"เป็นคนชอบกิรเฟรนฟราย BK มาก แต่ล่าสุดมากินสาขา street รู้สึกว่า เฟรนฟรายเปลี่ยนไปหรือป่าว อันเล็กลง เมื่อก่อนจะหนาใหญ่ รู้สึกแย่เอาแบบเก่ากับมาเถอะ แบบนี้กินแมคก็ได้"
