class,text
0,11.30 น. ไปที่สาขาในปั๊มคาลเท็กซ์ ประชานุกูล ซื้อพายไก่และพายเผือก อย่างละ 2 ชิ้น กลับถึงบ้าน จะทานพายไก่ เปิดมากลายเป็นพายเชอรี่ทั้งสองชิ้นเลย แย่จัง
0,BK ทุกสาขาบริการดี โดยเฉพาะอย่างยิ่งเอมโพเรียม แม้กระทั่งพารากอนที่คนเยอะก็บริการดี และคุณภาพอาหารดีมาก แต่แปลกมากที่สาขาเซ็นทรัลเวิลด์เป็นสาขาที่มีมาตรฐานต่ำมากทั้งเรื่องอาหารและบริการ เคยไว้ไปหนึ่งครั้ง พนักงานบริการแย่มากจนรู้สึกได้ มันทอดโรยเกลือจนกินไม่ได้ เอาไปเปลี่ยนก็หน้าถอดสี ตอนนั้นคิดว่าคงโชคร้าย อีกสองเดือนต่อมาไปทานอีกที ก็ยังเหมือนเดิม บริการและมาตรฐานอาหารแย่สุด ๆ อยากรู้ว่าเขาแยกบริหารสาขานี้ออกจากสาขาอื่นหรือเปล่า ทำไมคุณภาพถึงได้ต่ำแบบนี้ ขอชมเชยเอมโพเรียมและพารากอนด้วยใจจริง เซ็นทรัลเวิลด์ถ้าไป คงเลือกกินร้านอื่น เสียความรู้สึกมาก ทั้ง ผจก และ พนง
0,"Burger King สาขา The Bright พระราม 2 บริการห่วยมากถึงมากที่สุด วันนี้ไปทานกับลูก 3 คน พนักงานรับออเดอร์ มัวแต่คุยเล่นกัน ยืนกันหลายคนแต่เปิดเคาเตอร์เดียว กว่าจะสั่งได้นานมาก พอสั่งแล้วเฟรนฟรายหมดพอดี พนักงานบอกว่าเดี๋ยวเอาไปให้ที่โต๊ะ ก็ไม่เป็นไรก็ไปนั่งรอ ก็นั่งป้อนแฮมเบอร์เกอร์ลูกๆ ไป ซักพักใหญ่เฟรนฟรายก็ยังไม่มา แต่เห็นโต๊ะอื่นที่มาหลังเราได้แล้ว ก็ลุกไปตามกับผู้จัดการ (แต่งตัวไม่เหมือนคนอื่น)ตามครั้งที่ 1 ก็ได้รับคำตอบเหมือนเดิม ไปนั่งรอที่โต๊ะเดี๋ยวไปเสริฟให้ จนป้อนเด็กจนหมดใช้เวลาประมาณ 30 นาที ก็เดินไปตามรอบที่ 2 ทางผู้จัดการยื่นมาให้ 1 ห่อก่อน (สั่ง 2 ชุด) บอกว่าอีกห่อเดี๋ยวค่อยเอาไปเสริฟที่โต๊ะ (อีกละ) จนกลับมาที่โต๊ะกินจนหมดอิ่มแล้ว เฟรนฟรายอีกห่อก็ยังไม่มาเสริฟ จนต้องไปตามครั้งที่ 3 กับพนักงานเคาเตอร์ พนักงานเข้าไปคุยกับผู้จัดการเบาๆ (แต่แอบได้ยิน) ""พี่ๆ หนูบอกแล้วว่าจะไปเสริฟ พี่บอกว่าไม่ต้องลูกค้ากลับไปแล้ว เนี่ยเขามาตาม"" ได้ยินโมโหมาก เนี่ยถ้าไม่ตามก็คงไม่มาเสริฟใช่มั้ยขอบอกว่าในบรรดาเบอร์เกอร์ชอบกิน Burger King มากที่สุดแต่เจอพนักงานยันผู้จัดการแบบนี้ ขอบายค่ะ"
0,"Burger King สาขาปั้ม ป.ต.ท.บ้านพร อ.ถลาง เมื่อคืน วันจันทร์ ที่ 4 กรกฎาคม 2559 ไปกิน เฟรนฟรายยังลด50% อยู่ พอจะไปกินวันนี้ตอนเที่ยง พนักงานบอกว่าหมดโปรโมชั่นลด50%ตั้งแต่ วันที่30เดือนที่แล้ว แต่เมื่อคืนยังไปกินหมายความว่าไงไม่ได้เก็บสลิปเอาไว้แต่จำได้ว่าชิกเก้น สติ๊ก เฟรนฟราย ไซส์คิง และ น้ำโค้กแก้วใหญ่ ทั้งหมดมัน182บาท"
0,chicken strip ชิ้นเล็กมาก เทียบกับป้ายโฆษณาบนโต๊ะ
0,Delivery ไม่ทั่วถึง สาขาที่ใกล้เราที่สุดอยู่ทองหล่อ แต่เราอยู่แถว บีทีเอส อ่อนนุช แล้ว delivery แค่พระโขนงอ่ะ!!!
0,กิจกรรมที่จัดห่วยแตก ได้รางวัลไม่แจ้งทางอินบ๊อกซ์ ใครจะทราบได้ จะทำไรใช้สมองคิดเยอะๆนะคะ อย่าสักแต่จัด แล้วออกมาห่วย
0,"ขอแก้ไขรีวิว ล่าสุดที่ไปมา ตอนนี้อร่อยทุกอย่างแล้วค่ะ :)ไปกินมาที่สาขาเดอะมอลล์บางกะปิ เบอเกอร์อร่อย แต่เฟรนฟรายด์ลด 50% เหมือนเอาของเก่ามาขาย ไม่มีความร้อนเลย และปริมาณน้อยมากทั้งที่สั่งขนาดใหญ่สุด ตั้งแต่มาเปิดที่สาขานี้ก็มากินบ่อยพอสมควร มีปัญหาที่เฟรนฟรายด์ตลอด รบกวนปรับปรุงด้วยค่ะ"
0,ขอคอมเม้นต์นิดนึงครับ วันนี้ผมมากินที่สาขาทางด่วนบางนาขาออก ขอให้ทำอาหารให้ได้ตามแบบด้วยนะครับ ไม่ทราบว่าท่านอบรมพนักงานก่อนทำงานหรือไม่ ไม่ต้องถึงกับเหมือน แต่ขอให้มีส่วนประกอบครบ ผมสั่งดับเบิ้ลชีสเบอร์เกอร์ ครับแรกให้เนื้อมาแผ่นเดียวทั้งที่จริงต้องมีสองแผ่น พอเปลี่ยนมีเนื้อมาสองแผ่นแถมเบคอนที่ไม่มีในเมนูให้ด้วย แล้วผักจะหวงไว้ทำไมครับไม่ให้ผมมาเลย คุณทราบไหมว่าทำไมมันถึงต้องมีผักแล้วแตงกวาดองในแฮมเบอร์เกอร์ เพื่อไม่ให้มันเลี่ยนเกินไปครับ เมื่อไม่มีรสชาติมาตัดเลี่ยนพวกนี้ อาหารที่อร่อยก็จะกลายเป็นอาหารเลี่ยนๆมันๆ ขอให้ปรับปรุงด้วยครับ
0,"ขอบคุณที่ร่วมแชร์ประสบการณ์แย่ ๆ นะครับสาขา Esso รามอินทรา กม. 6.5 เวลา 2:31PM Drive Thru1. สั่ง Chicken Sandwiches size L ได้ size King2. เปลี่ยนโค้กโดยการเทจากแก้วเก่าลงแก้วใหม่ ไม่เปลี่ยนแก้วใหม่3. พนักงานลืม BBQ ซอส ทั้ง ๆ ที่สั่ง Chicken Tender ไปด้วย 4. พนักงานส่งอาหารชักสีหน้า หน้าบูดเป็นตูดลิง 5. ถึงบ้านเปิด Chicken Sandwiches ดูสั่ง Cut half ไว้ก็ตัดไม่ขาดครึ่ง อันนี้ครั้งที่ 2 แล้ว 6. ติดต่อ น้องวอปเปอร์ทาง FB มีแต่การติดต่อจะแจ้งกลับ เงียบหายไปเป็นวัน หวังว่าการขยายสาขาที่มากของ BK จะไม่ทำให้คุณภาพของพนักงาน หรือสินค้าแย่ลงมากกว่านี้นะครับ"
